age,2002,2004,2006,2008,2010,2012,2014,2016
total,37.5,57.6,63.2,64.1,41.7,36.4,36.4,61.5
18_24,10.8,43.1,45.3,52.5,16.7,14.3,14.3,40.7
25_44,29.6,51.5,52.5,62.4,32.5,18.3,18.3,52.3
45_64,47.2,64.6,65.4,68.9,48.5,30.5,30.5,64.3
65_74,58.8,69.8,72.3,75.8,55.8,44.2,44.2,67.0
75+,55.1,63.9,58.3,54.7,59.2,51.5,51.5,68.0
