age,2002,2004,2006,2008,2010,2012,2014,2016
total,49.0,68.9,70.4,71.2,46.9,50.2,50.2,69.0
18_24,50.4,52.8,57,57.7,19.9,19.0,19.0,B
25_44,41.4,64.1,68,71,36.9,26.6,26.6,59.8
45_64,58.3,74.7,76,75.3,55.4,49.5,49.5,66.3
65_74,78.3,74.3,75,76.3,68.6,58.2,58.2,74.2
75+,60.4,65.2,64.3,69,60.3,69.7,69.7,73.2
