age,2002,2004,2006,2008,2010,2012,2014,2016
total,43.4,61.3,67.2,67.3,41.3,44.3,44.3,66.8
18_24,17.4,38.6,42.4,44.1,10.7,15.5,15.5,52.9
25_44,32.7,55.1,60.3,62,29.9,28.8,28.8,54.8
45_64,57.3,71.8,74.3,77.4,51.6,41.3,41.3,68.7
65_74,78.4,73.9,76.2,73.5,61.2,53.1,53.1,69.8
75+,63.9,76.6,75.3,76.6,64.1,63.4,63.4,79.5
