age,2002,2004,2006,2008,2010,2012,2014,2016
total,41.5,60.9,63.2,64.1,42.5,45.6,45.6,54.8
18_24,15.3,39.7,40.3,52.5,13.5,12.3,12.3,40.9
25_44,33.2,57.8,59.6,62.4,30.6,26.1,26.1,39.5
45_64,51.5,66.8,68.8,68.9,57.5,40.8,40.8,51.2
65_74,67.3,76.4,75.4,75.8,56.7,56.2,56.2,56.6
75+,67.3,69.7,68.3,54.7,53.2,66.7,66.7,74.7
